iter	Passed	Remaining
0	1	462
1	2	371
2	3	358
3	4	336
4	5	325
5	6	322
6	7	316
7	8	319
8	9	315
9	10	307
10	11	302
11	12	299
12	13	295
13	14	291
14	15	288
15	16	285
16	17	283
17	17	280
18	18	276
19	19	275
20	20	276
21	21	277
22	22	276
23	23	275
24	25	275
25	25	273
26	26	272
27	27	271
28	28	270
29	29	269
30	30	267
31	31	267
32	32	266
33	33	265
34	34	263
35	35	262
36	36	261
37	37	261
38	38	260
39	39	259
40	40	258
41	42	258
42	43	258
43	44	257
44	45	256
45	46	255
46	47	254
47	48	253
48	49	254
49	50	252
50	51	251
51	52	250
52	53	251
53	54	250
54	56	249
55	57	248
56	58	247
57	58	246
58	60	245
59	61	244
60	62	243
61	63	242
62	64	241
63	65	240
64	66	238
65	67	238
66	68	237
67	69	237
68	70	236
69	71	235
70	72	234
71	73	233
72	74	231
73	75	230
74	76	228
75	77	227
76	78	226
77	78	224
78	79	223
79	80	222
80	81	221
81	82	220
82	83	218
83	84	218
84	85	216
85	86	215
86	87	214
87	88	213
88	89	212
89	90	211
90	91	209
91	92	208
92	93	207
93	93	205
94	94	204
95	95	202
96	96	201
97	97	200
98	98	199
99	99	198
100	99	196
101	100	195
102	101	194
103	102	192
104	103	191
105	104	190
106	105	189
107	106	188
108	107	187
109	107	186
110	108	185
111	109	184
112	110	183
113	111	182
114	112	181
115	113	180
116	114	178
117	115	177
118	116	176
119	117	175
120	118	174
121	119	173
122	120	172
123	121	172
124	122	171
125	123	170
126	124	168
127	124	167
128	125	166
129	126	165
130	127	164
131	128	163
132	129	162
133	130	161
134	131	160
135	132	159
136	132	158
137	133	157
138	134	156
139	135	154
140	136	153
141	136	152
142	137	151
143	138	150
144	139	149
145	140	147
146	141	146
147	141	145
148	142	144
149	143	143
150	144	142
151	145	141
152	146	140
153	147	139
154	148	138
155	149	137
156	150	136
157	151	135
158	152	134
159	152	133
160	153	132
161	154	131
162	155	131
163	156	130
164	157	129
165	158	127
166	159	127
167	160	126
168	161	125
169	162	124
170	163	123
171	164	122
172	165	121
173	166	120
174	167	119
175	168	118
176	169	117
177	170	116
178	171	115
179	172	114
180	172	113
181	173	112
182	174	111
183	175	110
184	176	109
185	177	108
186	178	107
187	179	106
188	180	106
189	181	105
190	182	104
191	183	103
192	184	102
193	185	101
194	185	100
195	186	99
196	187	98
197	188	97
198	189	96
199	190	95
200	191	94
201	192	93
202	193	92
203	194	91
204	195	90
205	196	89
206	197	88
207	197	87
208	198	86
209	199	85
210	200	84
211	201	83
212	202	82
213	203	81
214	204	80
215	204	79
216	205	78
217	207	77
218	207	76
219	208	75
220	210	75
221	211	74
222	212	73
223	212	72
224	213	71
225	214	70
226	215	69
227	216	68
228	217	67
229	218	66
230	219	65
231	220	64
232	221	63
233	222	62
234	223	61
235	224	60
236	225	59
237	226	58
238	227	57
239	228	57
240	229	56
241	229	55
242	230	54
243	231	53
244	232	52
245	233	51
246	234	50
247	235	49
248	236	48
249	237	47
250	239	46
251	240	45
252	242	44
253	243	44
254	244	43
255	244	42
256	245	41
257	246	40
258	247	39
259	248	38
260	249	37
261	250	36
262	251	35
263	252	34
264	253	33
265	254	32
266	255	31
267	256	30
268	256	29
269	257	28
270	258	27
271	259	26
272	260	25
273	261	24
274	262	23
275	263	22
276	264	21
277	265	20
278	266	20
279	269	19
280	270	18
281	271	17
282	272	16
283	273	15
284	274	14
285	275	13
286	276	12
287	276	11
288	277	10
289	278	9
290	279	8
291	280	7
292	281	6
293	282	5
294	283	4
295	284	3
296	284	2
297	285	1
298	286	0
299	287	0
